SAMPLE,Recvd Wt.,Au,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Ag_2,foldername,filename,Cu_2,Au_2,Zn_2,Ce,Cs,Ge,Hf,In,Li,Nb,Rb,Re,Se,Sn,Ta,Te,Y,Zr,Sn_2,Pb_2
C523692,2.47,0.118,4,4.56,190,230,<10,<20,1.56,10,10,<10,230,3.41,<50,1.2,<50,1.06,760,<10,1.08,10,230,240,1.88,70,10,40,<50,0.08,<50,<50,10,<50,2740,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523693,5.39,0.074,2,4.50,230,220,<10,<20,2.31,<10,10,10,170,3.20,<50,1.1,<50,1.18,670,<10,1.00,10,280,210,1.50,50,10,40,<50,0.09,<50,<50,20,<50,1160,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523694,5.17,0.419,19,5.64,530,300,<10,<20,1.30,20,20,10,1530,6.04,<50,1.6,<50,1.29,410,<10,1.15,10,330,1040,4.72,330,10,40,<50,0.09,<50,<50,30,<50,8290,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523695,1.76,0.324,6,4.76,530,210,<10,<20,5.50,10,20,10,1820,5.11,<50,1.0,<50,2.32,790,<10,0.66,10,210,620,2.67,320,10,50,<50,0.09,<50,<50,20,<50,3160,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523696,4.49,0.152,4,5.89,220,260,<10,<20,5.35,<10,20,10,1340,6.62,<50,1.0,<50,2.69,1030,<10,0.86,10,460,220,1.98,120,20,50,<50,0.13,<50,<50,50,<50,1840,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523697,6.11,0.766,13,4.20,230,190,<10,<20,3.30,50,70,10,11000,10.20,<50,0.8,<50,1.76,750,<10,0.60,10,310,880,6.97,<50,10,30,<50,0.07,<50,<50,30,<50,17400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523698,3.16,0.333,4,4.50,210,340,<10,<20,3.69,10,10,<10,2620,4.28,<50,1.2,<50,1.36,420,<10,0.80,<10,210,340,1.62,140,10,40,<50,0.09,<50,<50,30,<50,3400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523699,5.89,0.077,3,5.36,160,290,<10,<20,3.02,<10,<10,10,950,7.58,<50,1.1,<50,2.34,670,<10,0.79,<10,240,150,0.88,130,10,40,<50,0.08,<50,<50,60,<50,550,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523700,0.16,<0.005,<1,4.00,<50,460,<10,<20,1.93,<10,10,40,30,2.37,<50,0.7,<50,0.69,440,<10,2.10,30,480,<20,0.05,<50,10,220,<50,0.26,<50,<50,80,<50,60,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523701,5.44,0.125,4,5.11,600,290,<10,<20,2.80,10,10,<10,1280,6.82,<50,1.1,<50,2.02,670,<10,0.81,<10,190,280,2.20,140,10,40,<50,0.06,<50,<50,10,<50,2600,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523702,8.35,1.710,48,3.91,11800,180,<10,<20,2.55,70,70,10,11900,18.65,<50,1.0,<50,1.42,510,10,0.51,10,80,3030,>10.0,1380,10,30,<50,0.06,<50,<50,20,<50,28500,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523703,4.62,1.515,44,5.08,6400,250,<10,<20,1.69,20,100,<10,20700,12.45,<50,1.3,<50,2.04,500,10,0.43,10,180,1290,8.74,2870,10,30,<50,0.07,<50,<50,50,<50,8900,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523704,4.70,1.845,74,5.64,11000,320,<10,<20,2.30,40,40,<10,10400,11.50,<50,1.7,<50,1.43,320,<10,0.58,10,170,1660,>10.0,3390,10,40,<50,0.06,<50,<50,20,<50,16150,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523705,6.58,0.366,21,5.15,1300,320,<10,<20,4.47,10,20,10,2040,5.82,<50,1.5,<50,2.39,760,<10,0.40,10,240,300,2.63,720,10,30,<50,0.11,<50,<50,40,<50,4880,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523706,3.97,0.962,140,4.29,1300,220,<10,<20,1.17,50,10,10,1170,15.45,<50,1.2,<50,1.37,460,<10,0.29,<10,110,13600,>10.0,730,10,20,<50,0.05,<50,<50,20,<50,27400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523707,4.45,0.013,2,5.30,350,320,<10,<20,2.91,<10,<10,<10,50,2.70,<50,1.7,<50,1.40,460,<10,0.42,<10,170,90,0.59,<50,10,40,<50,0.08,<50,<50,10,<50,230,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523708,4.93,0.121,<1,4.01,290,350,<10,<20,1.51,<10,10,10,50,3.14,<50,1.7,<50,1.71,390,<10,0.40,10,240,40,0.16,<50,10,30,<50,0.07,<50,<50,80,<50,140,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523709,4.42,0.049,<1,2.97,<50,410,<10,<20,1.10,<10,<10,<10,20,1.81,<50,1.6,<50,1.61,310,<10,0.45,<10,<50,<20,0.76,<50,<10,30,<50,0.06,<50,<50,<10,<50,70,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523710,0.11,5.41,>200,3.24,1730,1930,<10,<20,2.54,190,80,90,7890,18.40,<50,1.0,<50,1.43,1260,780,0.80,60,470,22200,>10.0,1090,10,100,<50,0.19,<50,<50,140,<50,37400,353,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523711,5.39,0.022,1,4.58,<50,370,<10,<20,3.26,<10,<10,20,60,2.32,<50,1.2,<50,2.60,910,<10,0.31,10,190,20,0.29,<50,10,50,<50,0.10,<50,<50,40,<50,120,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523712,4.39,0.021,<1,4.39,260,690,<10,<20,1.55,<10,10,20,90,3.02,<50,1.5,<50,1.88,1340,<10,0.31,<10,150,230,0.72,<50,10,50,<50,0.08,<50,<50,40,<50,2090,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523713,3.20,0.028,3,3.58,330,700,<10,<20,0.80,<10,<10,10,100,2.30,<50,2.0,<50,0.75,1330,<10,0.26,<10,130,1180,1.70,<50,10,20,<50,0.06,<50,<50,10,<50,2400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523714,4.63,0.034,17,3.80,310,430,<10,<20,2.28,10,<10,10,380,2.45,<50,1.2,<50,1.40,2960,<10,0.17,<10,80,7840,1.46,120,10,20,<50,<0.05,<50,<50,<10,<50,5840,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523715,4.24,0.018,2,3.46,340,630,<10,<20,1.35,<10,<10,10,40,2.74,<50,1.5,<50,1.50,3290,<10,0.22,10,110,1190,0.65,<50,10,20,<50,0.05,<50,<50,10,<50,1120,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523716,5.38,0.023,1,3.02,510,680,<10,<20,0.05,<10,<10,10,140,1.99,<50,2.0,<50,0.97,1070,<10,0.26,<10,130,150,0.48,<50,<10,10,<50,0.06,<50,<50,10,<50,2560,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523717,6.26,0.190,1,4.57,850,150,<10,<20,1.59,<10,<10,10,30,2.66,<50,0.7,<50,3.94,1240,<10,0.14,<10,130,260,0.22,<50,10,20,<50,0.08,<50,<50,10,<50,270,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523718,5.11,0.247,1,4.89,930,210,<10,<20,1.13,<10,<10,10,80,2.57,<50,0.9,<50,3.31,1150,<10,0.13,40,130,150,0.45,<50,10,20,<50,0.08,<50,<50,10,<50,480,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523719,4.98,0.095,<1,5.39,460,270,<10,<20,0.74,<10,<10,10,20,2.19,<50,1.1,<50,2.72,930,<10,0.15,<10,120,80,0.24,<50,10,10,<50,0.07,<50,<50,10,<50,180,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523720,0.16,<0.005,<1,5.09,<50,470,<10,<20,1.97,<10,10,40,30,2.41,<50,0.8,<50,0.77,450,10,2.10,40,480,<20,0.05,<50,10,230,<50,0.27,<50,<50,70,<50,50,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523721,1.17,0.105,1,4.89,<50,230,<10,<20,0.34,<10,<10,10,30,3.35,<50,1.0,<50,2.84,720,<10,0.13,10,120,1060,1.31,<50,10,10,<50,0.07,<50,<50,10,<50,370,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523722,6.36,0.027,1,4.50,540,430,<10,<20,0.89,<10,<10,30,40,3.03,<50,1.4,<50,2.35,1510,<10,0.21,10,140,480,0.86,<50,10,20,<50,0.08,<50,<50,10,<50,970,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523723,6.26,0.030,<1,3.44,630,440,<10,<20,0.48,<10,10,10,50,2.41,<50,1.6,<50,1.73,840,<10,0.21,<10,110,410,0.65,<50,10,10,<50,0.07,<50,<50,10,<50,1670,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523724,3.91,0.007,<1,3.60,1350,640,<10,<20,0.12,<10,<10,10,110,3.63,<50,1.7,<50,0.66,800,<10,0.48,10,160,<20,0.74,<50,10,10,<50,0.06,<50,<50,20,<50,130,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523725,2.75,0.030,6,6.78,170,220,<10,<20,0.56,20,30,70,170,8.44,<50,1.0,<50,4.09,2760,80,0.32,30,430,470,1.88,<50,30,20,<50,0.17,<50,<50,200,<50,3580,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523726,5.44,0.088,2,7.48,270,210,<10,<20,0.43,30,30,40,850,8.97,<50,1.3,<50,4.11,3270,<10,0.39,20,490,250,2.15,<50,40,20,<50,0.15,<50,<50,240,<50,7650,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523727,4.19,0.032,2,5.02,170,380,<10,<20,1.40,10,10,60,260,5.50,<50,1.3,<50,1.93,1650,<10,0.37,20,410,340,1.48,<50,10,170,<50,0.20,<50,<50,70,<50,1050,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523728,2.80,0.022,<1,6.95,440,390,<10,<20,0.20,<10,20,40,340,7.23,<50,1.4,<50,2.86,1580,20,0.39,20,400,40,0.70,<50,20,20,<50,0.14,<50,<50,130,<50,380,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523729,1.82,0.042,3,7.46,130,130,<10,<20,0.72,40,30,40,450,7.42,<50,0.9,<50,5.30,2300,10,0.33,20,520,1080,1.24,60,30,20,<50,0.20,<50,<50,260,<50,3470,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523730,0.11,0.553,67,1.14,140,<50,<10,80,0.90,100,300,30,35400,27.5,<50,0.1,<50,1.95,740,10,0.07,60,110,2330,>10.0,<50,<10,10,<50,0.05,<50,<50,10,<50,34600,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523731,6.18,0.033,2,7.40,200,170,<10,<20,0.51,20,30,50,300,9.12,<50,1.3,<50,3.91,3320,<10,0.47,10,450,390,3.52,<50,40,20,<50,0.15,<50,<50,250,<50,7130,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523732,4.26,0.017,<1,3.70,260,90,<10,<20,0.41,20,20,40,310,8.28,<50,0.7,<50,2.60,3710,<10,0.23,10,220,80,3.96,<50,20,20,<50,0.08,<50,<50,120,<50,6600,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523733,5.99,0.013,<1,7.59,90,180,<10,<20,0.20,10,30,70,210,9.65,<50,1.4,<50,3.86,3180,<10,0.46,30,440,30,3.45,<50,40,20,<50,0.19,<50,<50,250,<50,3760,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523734,4.44,0.013,<1,3.95,60,110,<10,<20,0.94,20,10,60,370,6.62,<50,0.9,<50,2.57,3000,<10,0.26,20,260,20,2.78,<50,20,20,<50,0.07,<50,<50,130,<50,8030,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523735,4.13,0.052,<1,5.90,150,150,<10,<20,0.36,20,30,40,390,13.15,<50,1.2,<50,3.58,3640,<10,0.34,10,370,30,8.09,<50,30,20,<50,0.13,<50,<50,200,<50,7390,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523736,3.68,0.055,1,7.38,190,150,<10,<20,0.22,10,40,40,350,12.60,<50,1.2,<50,4.87,3630,<10,0.36,20,470,80,5.91,<50,40,20,<50,0.19,<50,<50,250,<50,4210,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523737,6.94,0.016,<1,7.07,290,80,<10,<20,0.70,<10,40,40,140,7.82,<50,0.8,<50,6.00,3130,<10,0.28,20,500,160,0.52,<50,30,20,<50,0.21,<50,<50,250,<50,400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523738,4.86,0.008,<1,8.74,60,210,<10,<20,0.54,<10,40,60,150,8.85,<50,1.4,<50,4.97,2860,<10,0.37,20,590,20,0.98,<50,40,20,<50,0.19,<50,<50,280,<50,470,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523739,6.14,0.021,2,8.67,120,220,<10,<20,0.39,10,50,60,280,10.45,<50,1.5,<50,4.43,3000,<10,0.38,20,550,50,3.36,<50,40,20,<50,0.17,<50,<50,280,<50,2800,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523740,0.16,<0.005,<1,4.23,<50,460,<10,<20,1.91,<10,10,40,20,2.39,<50,0.8,<50,0.72,450,<10,2.10,20,480,<20,0.05,<50,10,230,<50,0.26,<50,<50,80,<50,60,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523741,8.09,0.045,4,7.94,880,170,<10,<20,0.47,10,40,50,240,10.00,<50,1.2,<50,4.98,3890,<10,0.27,20,530,40,1.42,<50,40,20,<50,0.18,<50,<50,270,<50,4730,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523742,6.48,0.013,3,7.83,120,170,<10,<20,0.47,<10,40,50,250,10.25,<50,1.2,<50,4.64,3230,<10,0.24,20,500,50,2.22,<50,40,20,<50,0.16,<50,<50,270,<50,2180,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523743,3.93,0.020,4,3.14,160,80,<10,<20,1.69,20,20,30,560,9.54,<50,0.5,<50,2.58,3680,<10,0.11,10,150,380,5.96,<50,20,10,<50,<0.05,<50,<50,100,<50,8640,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523744,6.44,0.010,3,6.72,140,160,<10,<20,0.81,10,30,40,200,9.60,<50,0.9,<50,4.17,3070,<10,0.19,20,490,60,2.19,<50,30,20,<50,0.12,<50,<50,230,<50,2460,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523745,7.24,0.011,1,7.60,470,250,<10,<20,0.53,10,30,50,250,9.67,<50,1.4,<50,3.38,2990,<10,0.28,20,560,40,3.00,<50,40,20,<50,0.10,<50,<50,240,<50,5520,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523746,6.02,0.016,2,7.47,830,280,<10,<20,0.33,20,30,50,270,9.49,<50,1.5,<50,3.07,2630,30,0.28,20,400,30,2.65,<50,40,20,<50,0.11,<50,<50,240,<50,7110,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523747,3.39,0.017,<1,6.21,1500,360,<10,<20,0.31,10,20,20,260,7.60,<50,1.7,<50,2.27,4490,20,0.32,10,300,20,1.46,<50,20,20,<50,0.11,<50,<50,120,<50,2720,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523748,3.39,0.014,<1,6.53,60,430,<10,<20,2.22,<10,20,120,50,4.73,<50,0.9,<50,3.15,1160,<10,3.18,60,1220,20,0.18,50,10,540,<50,0.41,<50,<50,90,<50,520,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523749,4.12,0.025,<1,7.19,220,270,<10,<20,3.10,<10,20,210,120,5.62,<50,0.5,<50,3.86,1170,<10,2.63,120,1210,40,0.40,<50,10,490,<50,0.43,<50,<50,100,<50,290,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523750,0.11,5.04,>200,3.25,1630,2810,<10,<20,2.40,180,70,90,7430,17.45,<50,1.0,<50,1.39,1190,750,0.82,60,450,21100,>10.0,1030,10,110,<50,0.18,<50,<50,130,<50,35500,353,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523751,7.52,1.080,4,1.77,8400,290,<10,<20,3.31,240,30,20,5970,24.3,<50,0.2,<50,2.46,1130,<10,0.21,10,100,2450,>10.0,110,<10,80,<50,0.05,<50,<50,10,<50,94100,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523752,5.44,0.006,<1,7.16,130,250,<10,<20,2.58,10,30,150,710,7.14,<50,0.7,<50,3.87,1140,<10,2.46,80,1190,20,1.22,<50,10,430,<50,0.43,<50,<50,110,<50,2720,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523753,4.99,0.033,2,5.93,580,220,<10,<20,3.81,50,30,60,2580,12.15,<50,0.7,<50,4.69,860,<10,0.46,40,480,350,6.95,<50,20,140,<50,0.17,<50,<50,100,<50,16750,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523754,6.28,0.042,4,3.32,190,80,<10,<20,4.25,70,20,<10,4660,16.60,<50,<0.1,<50,6.23,870,<10,<0.05,<10,60,480,>10.0,<50,10,40,<50,<0.05,<50,<50,<10,<50,26400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523755,3.27,0.028,3,5.40,330,80,<10,<20,7.20,20,10,<10,2870,11.60,<50,0.1,<50,9.58,1250,10,0.05,10,50,180,4.76,<50,10,70,<50,0.05,<50,<50,10,<50,8140,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523756,3.02,<0.005,<1,7.38,50,340,<10,<20,3.88,<10,20,140,70,4.96,<50,0.8,<50,4.08,970,<10,2.13,70,1090,<20,0.07,<50,10,430,<50,0.39,<50,<50,90,<50,180,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523757,5.82,0.059,9,7.78,1020,90,<10,<20,2.05,<10,20,<10,10300,9.24,<50,0.4,<50,8.94,710,<10,0.06,<10,80,80,1.39,280,20,30,<50,0.07,<50,<50,<10,<50,990,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523758,6.23,0.019,2,6.66,220,<50,<10,<20,4.26,10,30,<10,3200,10.35,<50,0.1,<50,9.89,1480,<10,<0.05,<10,140,160,2.30,60,10,50,<50,<0.05,<50,<50,<10,<50,2430,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523759,4.38,<0.005,<1,6.59,<50,370,<10,<20,2.55,<10,20,110,70,4.94,<50,1.1,<50,3.26,1120,<10,2.21,60,1210,<20,0.20,<50,10,340,<50,0.36,<50,<50,80,<50,150,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523760,0.16,<0.005,<1,4.65,<50,460,<10,<20,1.95,<10,10,40,20,2.39,<50,0.8,<50,0.73,440,<10,2.11,20,470,<20,0.05,<50,10,230,<50,0.26,<50,<50,80,<50,50,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523761,5.29,0.006,<1,5.40,300,80,<10,<20,6.34,<10,10,10,30,5.22,<50,0.2,<50,8.11,1610,<10,0.06,<10,<50,60,0.05,<50,10,30,<50,<0.05,<50,<50,<10,<50,290,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523762,5.23,0.011,<1,5.68,220,50,<10,<20,3.69,<10,10,10,20,4.49,<50,0.2,<50,7.86,930,<10,0.05,<10,<50,60,<0.05,<50,10,20,<50,0.05,<50,<50,<10,<50,330,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523763,4.24,0.107,22,5.30,1880,150,<10,<20,2.39,<10,20,20,7040,4.42,<50,0.7,<50,4.86,730,<10,0.16,10,60,90,0.75,330,10,40,<50,0.09,<50,<50,20,<50,330,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523764,3.51,0.012,<1,3.10,930,110,<10,<20,1.21,<10,<10,10,370,2.51,<50,0.8,<50,2.72,430,<10,0.16,<10,<50,<20,0.08,<50,<10,10,<50,0.05,<50,<50,<10,<50,150,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523765,5.93,0.029,1,5.53,710,190,<10,<20,1.48,<10,10,10,1170,4.36,<50,0.9,<50,3.96,610,<10,0.21,<10,180,<20,0.33,<50,10,20,<50,0.09,<50,<50,60,<50,220,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523766,3.60,0.020,1,5.97,1070,140,<10,<20,2.04,<10,10,<10,390,4.63,<50,0.8,<50,5.79,650,<10,0.20,<10,<50,50,0.09,<50,10,20,<50,0.08,<50,<50,10,<50,310,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523767,5.64,0.110,<1,6.75,6580,190,<10,<20,3.11,10,10,<10,760,7.17,<50,0.9,<50,5.45,940,<10,0.23,<10,60,100,2.44,<50,10,20,<50,0.06,<50,<50,10,<50,2480,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523768,6.54,0.365,22,7.64,5580,170,<10,<20,4.37,10,70,<10,8310,10.60,<50,0.8,<50,7.03,1320,<10,0.19,<10,270,1290,5.29,<50,20,20,<50,0.09,<50,<50,10,<50,5400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523769,6.02,0.216,9,6.89,4960,290,<10,<20,2.78,10,10,30,3190,7.38,<50,0.9,<50,4.84,810,<10,0.35,10,290,650,3.10,<50,10,40,<50,0.13,<50,<50,40,<50,4620,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523770,0.11,0.507,68,1.18,150,<50,<10,100,0.93,100,300,20,36300,27.8,<50,0.1,<50,2.00,750,10,0.07,60,100,2370,>10.0,<50,<10,10,<50,0.05,<50,<50,10,<50,35400,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523771,6.30,0.040,1,5.43,400,340,<10,<20,3.78,<10,20,10,320,5.39,<50,1.2,<50,3.31,1070,<10,0.31,10,450,150,1.68,<50,20,20,<50,0.15,<50,<50,120,<50,680,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523772,6.47,0.041,1,7.43,60,420,<10,<20,6.72,<10,10,<10,30,4.50,<50,2.0,<50,3.71,1190,<10,0.49,<10,260,40,3.33,<50,20,40,<50,0.12,<50,<50,10,<50,620,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523773,5.79,0.116,3,4.73,930,250,<10,<20,1.33,10,10,<10,3090,4.51,<50,1.2,<50,2.08,440,<10,0.31,<10,450,190,1.85,<50,20,20,<50,0.10,<50,<50,10,<50,2910,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523774,5.28,0.077,16,4.72,950,270,<10,<20,4.15,20,<10,<10,2740,2.02,<50,1.3,<50,2.03,930,<10,0.41,<10,160,790,1.63,400,10,20,<50,0.10,<50,<50,10,<50,6930,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523775,2.15,0.326,3,5.01,2480,230,<10,<20,1.12,20,10,10,420,6.65,<50,1.2,<50,2.26,360,<10,0.49,10,290,590,5.86,<50,20,30,<50,0.12,<50,<50,90,<50,7720,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523776,5.90,0.777,38,5.41,610,<50,<10,<20,5.31,10,<10,<10,150,17.80,<50,0.2,<50,5.70,910,10,0.37,<10,60,3300,>10.0,130,10,30,<50,0.07,<50,<50,10,<50,7520,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523777,7.30,1.290,108,1.80,1290,<50,<10,<20,4.53,60,<10,<10,810,28.5,<50,0.1,<50,3.31,640,<10,0.12,<10,<50,27600,>10.0,320,<10,10,<50,<0.05,<50,<50,<10,<50,39100,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523778,9.39,1.625,64,2.08,18250,<50,<10,<20,1.46,180,<10,<10,1660,31.0,<50,0.1,<50,1.86,340,<10,0.14,<10,<50,12750,>10.0,350,<10,10,<50,<0.05,<50,<50,<10,<50,75100,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
C523779,6.95,2.22,79,3.88,9430,50,<10,<20,0.60,130,<10,<10,2010,29.1,<50,0.3,<50,1.66,420,10,0.46,<10,<50,3860,>10.0,540,10,10,<50,0.06,<50,<50,<10,<50,53900,,TU21211534 35 36 37 38 39 41,TU21211534.csv,,,,,,,,,,,,,,,,,,,,
