SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
PN0000996951,0.29,0.003,0.07,2.27,10.6,<10,130,0.41,0.15,0.46,0.18,28.3,18.2,27,0.48,60.7,4.23,5.30,0.05,0.06,0.05,0.018,0.10,14.2,11.8,1.18,951,0.40,0.01,0.23,14.6,450,8.5,6.0,<0.001,0.01,0.58,4.5,0.3,0.3,31.0,<0.01,0.05,2.3,0.034,0.05,0.34,50,<0.05,13.45,68,1.6,Soil Certificates,TU22073861.csv,
PN0000996952,0.24,0.005,0.07,2.46,8.4,<10,120,0.36,0.06,0.53,0.11,11.95,22.3,30,0.42,76.8,4.72,5.07,<0.05,0.05,0.07,0.009,0.10,6.1,11.8,1.31,821,0.26,0.01,0.15,17.2,380,3.4,4.5,<0.001,<0.01,0.59,3.8,0.3,0.2,26.7,<0.01,0.02,1.5,0.072,0.04,0.28,63,<0.05,7.01,67,1.5,Soil Certificates,TU22073861.csv,
PN0000996953,0.30,0.006,0.06,2.66,7.8,<10,90,0.32,0.09,0.61,0.08,35.0,19.2,22,0.25,59.0,5.00,8.91,0.06,0.04,0.06,0.024,0.05,16.7,14.0,1.32,802,0.24,0.01,0.09,10.8,450,5.2,2.7,<0.001,<0.01,0.36,7.7,0.3,0.3,27.3,<0.01,0.02,2.2,0.037,0.03,0.35,78,<0.05,22.8,67,1.1,Soil Certificates,TU22073861.csv,
PN0000996954,0.28,0.006,0.07,2.42,10.6,<10,90,0.36,0.08,0.77,0.11,14.90,24.6,29,0.21,80.7,4.79,5.98,<0.05,0.03,0.07,0.015,0.06,6.4,9.7,1.18,1005,0.23,0.01,0.09,13.3,400,4.4,2.0,<0.001,0.01,0.75,5.4,0.2,0.2,27.2,<0.01,0.03,1.1,0.031,0.02,0.20,76,<0.05,9.06,63,0.7,Soil Certificates,TU22073861.csv,
PN0000996955,0.28,0.008,0.06,1.92,8.8,<10,120,0.26,0.06,0.65,0.08,31.9,14.2,7,0.18,36.4,3.73,4.96,0.05,0.04,0.06,0.016,0.03,18.1,6.6,0.66,791,0.17,0.01,0.06,5.0,360,4.1,1.7,<0.001,<0.01,0.41,4.1,0.3,<0.2,30.0,<0.01,0.03,1.9,0.005,0.02,0.28,30,<0.05,21.1,52,0.9,Soil Certificates,TU22073861.csv,
PN0000996956,0.28,0.013,0.06,2.54,13.6,<10,140,0.36,0.12,0.46,0.14,14.00,22.2,12,0.34,110.0,5.46,7.74,0.05,0.03,0.04,0.016,0.07,7.5,12.2,1.29,880,0.26,0.01,0.13,8.6,460,5.8,3.1,<0.001,0.01,0.73,5.7,0.3,0.3,34.9,<0.01,0.04,1.2,0.047,0.03,0.28,79,<0.05,10.80,76,1.0,Soil Certificates,TU22073861.csv,
PN0000996957,0.26,0.008,0.05,3.56,6.6,<10,50,0.22,0.05,4.85,0.11,16.05,29.1,25,0.30,65.4,5.88,7.52,0.06,0.05,0.04,0.020,0.05,8.9,28.6,2.53,952,0.16,<0.01,0.10,23.9,540,3.4,2.8,<0.001,<0.01,0.46,8.0,0.3,<0.2,57.1,<0.01,0.02,0.9,0.013,0.02,0.15,81,<0.05,11.90,69,1.2,Soil Certificates,TU22073861.csv,
PN0000996958,0.28,0.004,0.06,2.53,5.6,<10,110,0.35,0.07,0.44,0.09,15.90,17.9,28,0.27,37.3,4.40,6.87,0.05,0.06,0.05,0.016,0.04,9.9,15.0,1.64,745,0.22,0.01,0.18,12.2,380,4.4,2.4,<0.001,0.01,0.61,5.3,0.3,0.2,26.7,<0.01,0.02,1.6,0.025,0.02,0.36,62,<0.05,11.25,61,1.2,Soil Certificates,TU22073861.csv,
PN0000996959,0.25,0.012,0.12,2.48,31.6,<10,110,0.40,0.20,0.54,0.18,30.2,22.6,27,0.40,69.9,4.54,7.81,0.06,0.07,0.06,0.026,0.13,18.0,13.4,1.28,810,0.39,0.01,0.21,15.0,460,12.3,5.5,<0.001,0.01,2.00,6.0,0.2,0.4,31.9,<0.01,0.05,2.4,0.023,0.04,0.35,60,<0.05,13.40,70,1.9,Soil Certificates,TU22073861.csv,
PN0000996960,0.27,0.005,0.05,2.20,8.4,<10,80,0.32,0.07,0.67,0.08,19.00,17.4,26,0.35,54.1,4.35,6.18,0.05,0.04,0.03,0.017,0.06,10.4,11.3,1.14,858,0.23,0.01,0.13,12.4,330,4.1,3.8,<0.001,<0.01,0.46,5.4,0.2,0.2,25.9,<0.01,0.02,1.8,0.040,0.03,0.26,62,<0.05,10.05,61,1.2,Soil Certificates,TU22073861.csv,
PN0000996961,0.27,0.004,0.05,2.31,12.4,<10,110,0.33,0.04,0.64,0.07,8.35,24.2,28,0.18,92.5,4.41,4.74,<0.05,0.04,0.05,0.008,0.04,4.5,11.8,1.27,859,0.23,0.01,0.12,13.5,310,3.2,1.8,<0.001,<0.01,0.76,3.1,0.3,0.2,34.1,<0.01,0.01,0.9,0.062,0.02,0.20,52,<0.05,5.81,67,1.0,Soil Certificates,TU22073861.csv,
PN0000996962,0.28,0.007,0.05,1.99,5.8,<10,130,0.34,0.09,0.46,0.13,24.6,14.9,16,0.22,57.1,4.27,5.36,<0.05,0.03,0.06,0.014,0.07,8.8,9.4,1.06,871,0.26,<0.01,0.15,7.7,480,6.8,2.8,<0.001,<0.01,0.53,4.0,0.2,0.2,22.3,<0.01,0.02,1.6,0.035,0.02,0.25,38,<0.05,8.46,72,0.8,Soil Certificates,TU22073861.csv,
PN0000996963,0.27,0.010,0.08,2.57,20.0,<10,90,0.30,0.11,0.64,0.16,29.1,25.0,26,0.23,86.1,4.73,8.44,0.05,0.04,0.06,0.029,0.07,12.7,14.0,1.23,1000,0.25,0.01,0.09,13.4,430,6.5,2.9,<0.001,0.01,0.61,7.7,0.2,0.2,25.7,<0.01,0.03,1.4,0.009,0.03,0.27,84,<0.05,12.90,68,1.1,Soil Certificates,TU22073861.csv,
PN0000996964,0.25,0.004,0.08,2.81,15.6,<10,110,0.51,0.16,0.55,0.17,24.4,23.6,36,0.75,80.6,4.66,7.24,0.05,0.08,0.05,0.025,0.16,11.9,20.5,1.52,841,0.36,0.01,0.22,20.6,410,8.4,8.7,<0.001,0.01,0.74,6.8,<0.2,0.4,29.8,<0.01,0.04,2.6,0.028,0.07,0.36,70,0.05,10.45,74,2.3,Soil Certificates,TU22073861.csv,
PN0000996965,0.22,0.002,0.08,2.56,22.2,<10,110,0.54,0.16,0.50,0.19,25.4,20.6,33,0.80,66.1,4.34,6.61,0.05,0.07,0.05,0.022,0.21,12.2,20.3,1.50,785,0.34,<0.01,0.21,19.9,620,8.4,11.6,<0.001,0.01,0.82,5.4,0.2,0.4,26.0,<0.01,0.05,2.6,0.022,0.08,0.30,65,0.06,9.28,77,2.1,Soil Certificates,TU22073861.csv,
PN0000996966,0.25,0.005,0.08,2.57,17.6,<10,150,0.46,0.14,0.55,0.14,29.2,19.7,26,0.47,62.3,4.51,7.45,0.06,0.06,0.05,0.022,0.11,14.7,18.4,1.23,889,0.34,0.01,0.16,13.8,400,8.4,5.3,<0.001,0.01,0.72,6.0,0.2,0.3,34.4,<0.01,0.04,2.3,0.028,0.04,0.37,60,0.05,12.45,70,1.8,Soil Certificates,TU22073861.csv,
PN0000996967,0.27,0.009,0.09,2.28,86.2,<10,200,0.49,0.20,0.55,0.46,32.4,19.7,27,0.58,80.3,4.66,7.60,0.06,0.05,0.09,0.034,0.14,14.0,20.1,1.16,1235,0.64,0.01,0.16,12.4,520,25.8,6.5,<0.001,0.01,1.25,6.7,0.2,0.3,33.5,<0.01,0.05,1.8,0.018,0.05,0.32,66,0.05,13.80,110,1.4,Soil Certificates,TU22073861.csv,
PN0000996968,0.24,0.003,0.04,1.50,8.9,<10,100,0.41,0.21,1.38,0.08,57.5,10.0,12,0.67,51.6,3.33,4.36,0.07,0.05,0.04,0.026,0.09,25.6,22.0,0.63,529,0.50,0.01,0.28,9.2,390,7.4,6.1,<0.001,0.01,0.36,4.5,0.4,0.2,39.9,<0.01,0.11,2.3,0.008,0.04,0.40,33,0.09,13.25,79,1.4,Soil Certificates,TU22073861.csv,
PN0000996969,0.26,0.002,0.02,1.08,7.5,<10,80,0.27,0.18,0.20,0.05,31.2,8.2,7,0.37,25.0,2.46,3.21,0.05,0.03,0.03,0.013,0.09,15.3,10.9,0.44,316,0.32,<0.01,0.07,5.2,260,5.6,3.8,<0.001,<0.01,0.26,2.1,<0.2,0.2,13.8,<0.01,0.06,2.7,0.008,0.02,0.26,21,0.06,6.04,48,1.4,Soil Certificates,TU22073861.csv,
PN0000996970,0.20,0.002,0.03,1.51,9.0,<10,90,0.33,0.13,0.28,0.07,30.5,10.7,15,0.51,34.9,3.17,4.80,0.05,0.03,0.03,0.017,0.09,17.2,11.5,0.69,493,0.40,<0.01,0.13,8.7,300,6.1,4.9,<0.001,<0.01,0.31,4.3,<0.2,0.2,17.6,<0.01,0.05,2.2,0.028,0.04,0.29,45,0.06,8.22,51,0.8,Soil Certificates,TU22073861.csv,
PN0000996971,0.22,0.001,0.04,1.60,7.4,<10,110,0.35,0.12,0.35,0.07,22.4,12.0,11,0.59,36.4,3.71,5.18,0.05,0.05,0.03,0.014,0.12,12.9,12.2,0.74,490,0.36,<0.01,0.17,8.1,270,4.7,5.8,<0.001,<0.01,0.32,3.9,0.2,0.2,21.1,<0.01,0.04,2.3,0.037,0.04,0.26,51,<0.05,6.92,57,2.2,Soil Certificates,TU22073861.csv,
PN0000996972,0.23,0.002,0.03,1.33,18.2,<10,130,0.31,0.15,0.32,0.05,32.7,9.1,8,0.71,28.0,3.24,4.30,0.05,0.04,0.02,0.016,0.09,15.8,10.6,0.48,476,0.46,<0.01,0.10,5.5,280,6.5,5.8,<0.001,<0.01,0.34,3.4,0.2,0.2,17.8,<0.01,0.07,2.3,0.010,0.04,0.28,36,0.10,10.45,52,1.0,Soil Certificates,TU22073861.csv,
PN0000996973,0.21,0.007,0.09,2.63,12.4,<10,100,0.44,0.19,0.53,0.18,27.1,24.8,48,0.52,58.9,5.10,9.39,0.06,0.06,0.06,0.035,0.11,13.9,24.2,1.71,1165,0.46,<0.01,0.14,26.6,430,10.7,5.6,<0.001,0.01,0.48,12.6,0.2,0.4,26.7,0.01,0.06,2.2,0.025,0.04,0.31,112,0.06,16.30,77,1.7,Soil Certificates,TU22073861.csv,
PN0000996974,0.20,0.014,0.08,2.80,11.2,<10,230,0.64,0.06,1.63,0.13,49.6,33.6,11,0.52,56.2,7.39,15.45,0.09,0.04,0.07,0.094,0.04,17.2,17.8,0.94,2290,0.81,0.01,0.07,11.6,440,5.4,2.1,<0.001,<0.01,0.73,20.0,0.4,0.3,43.0,0.01,0.04,1.5,0.019,0.02,0.27,248,0.07,34.5,86,1.0,Soil Certificates,TU22073861.csv,
PN0000996975,0.24,0.003,0.06,1.39,14.2,<10,110,0.40,0.13,2.15,0.11,29.2,12.5,14,0.67,37.4,3.08,4.22,0.05,0.04,0.04,0.021,0.10,14.2,12.4,0.64,699,0.49,<0.01,0.20,10.7,300,7.4,6.0,<0.001,0.01,0.40,4.7,0.3,0.2,37.3,<0.01,0.05,1.9,0.013,0.05,0.35,45,0.08,11.30,58,1.1,Soil Certificates,TU22073861.csv,
PN0000996976,0.31,0.004,0.04,1.36,70.7,<10,180,0.41,0.10,8.92,0.19,33.3,14.5,26,0.69,39.2,3.04,3.61,0.06,0.05,0.04,0.021,0.10,16.7,15.2,0.75,985,0.65,0.01,0.15,15.5,710,10.1,6.1,<0.001,0.01,0.99,5.1,0.4,0.2,66.0,<0.01,0.05,1.9,0.009,0.05,0.38,39,0.15,15.20,56,1.5,Soil Certificates,TU22073861.csv,
PN0000996977,0.23,0.005,0.03,1.38,21.4,<10,130,0.37,0.07,4.92,0.06,22.4,16.3,33,2.54,40.2,3.04,3.21,0.05,0.03,0.03,0.018,0.14,11.5,17.9,0.87,603,0.35,<0.01,0.11,16.5,400,4.2,7.8,<0.001,<0.01,0.80,5.3,0.2,0.2,50.6,<0.01,0.04,1.7,0.016,0.07,0.32,43,0.08,9.66,57,0.8,Soil Certificates,TU22073861.csv,
PN0000996978,0.26,0.031,0.10,1.82,33.0,<10,160,0.50,0.12,9.98,0.14,38.5,16.4,25,0.81,104.5,3.55,5.10,0.07,0.05,0.06,0.020,0.07,16.7,32.7,1.52,629,0.73,0.01,<0.05,16.7,800,7.6,2.6,<0.001,0.01,0.29,5.5,0.3,<0.2,189.5,<0.01,0.05,3.0,<0.005,0.04,0.88,36,0.07,11.90,81,1.1,Soil Certificates,TU22073861.csv,
PN0000996979,0.24,0.012,0.02,0.38,89.3,<10,110,0.23,0.02,15.00,0.05,8.95,31.7,3,0.56,5.7,3.35,0.95,<0.05,0.04,0.03,0.008,0.03,4.3,4.6,0.30,1085,0.62,<0.01,<0.05,3.7,680,2.7,1.3,<0.001,0.01,0.24,8.8,0.3,<0.2,154.0,<0.01,0.04,0.6,<0.005,<0.02,0.47,26,0.05,6.69,33,1.3,Soil Certificates,TU22073861.csv,
PN0000996980,0.19,0.016,0.06,1.14,99.4,<10,120,0.41,0.17,0.48,0.09,56.6,6.6,8,0.95,42.8,2.99,3.34,0.10,0.05,0.08,0.041,0.06,36.6,9.9,0.31,469,0.92,<0.01,0.15,6.4,230,11.5,3.9,<0.001,0.01,0.93,3.8,0.5,0.2,33.3,<0.01,0.04,2.3,<0.005,0.03,0.77,19,0.18,15.40,66,1.6,Soil Certificates,TU22073861.csv,
PN0000996981,0.17,0.004,0.04,1.04,68.5,<10,110,0.34,0.23,0.70,0.18,60.8,6.1,6,0.54,36.1,2.71,3.46,0.06,0.04,0.06,0.034,0.08,24.5,9.8,0.34,428,0.85,<0.01,0.18,4.6,280,13.6,4.0,<0.001,0.01,0.44,3.3,0.2,0.2,39.0,<0.01,0.05,2.2,<0.005,0.03,0.41,17,0.24,7.42,64,1.4,Soil Certificates,TU22073861.csv,
PN0000996982,0.26,0.003,0.04,1.29,69.4,<10,180,0.34,0.10,8.95,0.18,31.9,13.9,25,0.63,37.7,2.98,3.43,0.06,0.05,0.04,0.021,0.09,16.2,13.8,0.73,992,0.65,0.01,0.14,15.0,700,10.0,5.6,<0.001,0.01,0.99,4.7,0.3,0.2,64.5,<0.01,0.05,1.8,0.008,0.05,0.37,38,0.15,14.70,54,1.4,Soil Certificates,TU22073861.csv,
PN0000996983,0.23,0.013,0.07,1.48,54.9,<10,130,0.41,0.18,0.52,0.09,37.4,11.9,19,0.59,53.5,3.55,3.95,0.07,0.06,0.07,0.024,0.07,23.4,17.6,0.58,589,0.80,<0.01,0.19,14.1,300,8.1,4.1,<0.001,0.01,0.52,4.1,0.3,0.2,22.3,<0.01,0.09,2.7,0.005,0.03,0.50,33,0.12,12.45,67,1.9,Soil Certificates,TU22073861.csv,
PN0000996984,0.21,0.012,0.07,1.46,54.5,<10,130,0.40,0.18,0.50,0.07,37.0,11.8,18,0.60,54.2,3.45,3.99,0.07,0.06,0.07,0.024,0.07,23.9,16.8,0.56,569,0.78,<0.01,0.18,13.7,300,7.8,4.1,<0.001,0.01,0.51,4.0,0.4,0.2,22.6,<0.01,0.10,2.6,0.005,0.03,0.49,33,0.12,12.70,65,1.9,Soil Certificates,TU22073861.csv,
PN0000996985,0.21,0.004,0.03,1.38,22.9,<10,130,0.32,0.07,5.29,0.06,21.8,16.6,33,2.96,42.2,3.04,3.32,0.05,0.03,0.03,0.017,0.15,11.3,17.6,0.87,610,0.34,<0.01,0.10,16.7,430,4.3,8.2,<0.001,<0.01,0.80,5.7,0.3,0.2,51.2,<0.01,0.04,1.7,0.017,0.07,0.33,43,0.08,9.79,56,0.8,Soil Certificates,TU22073861.csv,
PN0000996986,0.26,0.002,0.03,1.06,6.6,<10,80,0.33,0.15,0.25,0.05,40.8,7.7,9,0.88,27.8,2.19,3.08,0.06,0.02,0.03,0.024,0.10,21.0,11.4,0.41,394,0.32,<0.01,0.16,7.2,280,5.5,6.8,<0.001,<0.01,0.30,3.6,0.2,0.3,17.7,<0.01,0.06,2.3,0.013,0.05,0.37,21,0.07,14.75,56,0.6,Soil Certificates,TU22073861.csv,
PN0000996987,0.25,0.001,0.03,0.95,6.6,<10,80,0.33,0.16,0.25,0.06,38.9,7.6,9,0.79,26.9,2.07,2.85,0.06,0.02,0.03,0.023,0.09,20.6,10.3,0.40,389,0.30,<0.01,0.15,6.8,280,5.4,6.4,<0.001,<0.01,0.29,3.1,0.2,0.2,16.4,<0.01,0.06,2.2,0.011,0.04,0.34,20,0.08,14.30,55,0.6,Soil Certificates,TU22073861.csv,
PN0000996988,0.27,0.002,0.02,0.96,8.4,<10,70,0.24,0.25,0.25,0.09,40.3,7.4,6,0.48,25.8,2.11,2.79,0.05,0.03,0.03,0.018,0.06,20.4,15.4,0.40,271,0.40,<0.01,0.10,4.7,270,9.5,3.8,<0.001,<0.01,0.27,1.7,<0.2,0.2,16.7,<0.01,0.09,2.5,0.005,0.03,0.27,18,0.10,5.28,53,1.3,Soil Certificates,TU22073861.csv,
PN0000996989,0.23,0.018,0.05,0.90,7.7,<10,110,0.25,0.19,14.40,0.10,43.1,9.2,5,0.36,59.4,2.48,2.31,0.07,0.05,0.06,0.032,0.05,28.5,14.9,0.44,592,0.22,0.01,0.09,5.2,690,5.5,2.8,<0.001,0.02,0.30,5.4,0.5,0.2,72.2,<0.01,0.15,1.8,<0.005,0.02,0.68,19,0.10,15.30,64,1.3,Soil Certificates,TU22073861.csv,
PN0000996990,0.18,0.019,0.05,1.70,7.7,<10,70,0.29,0.24,0.43,0.04,72.4,13.1,10,0.38,53.4,3.94,4.70,0.14,0.04,0.07,0.033,0.05,57.1,25.5,0.63,526,0.35,<0.01,0.09,7.7,410,9.8,2.3,<0.001,<0.01,0.66,6.3,0.4,0.3,24.1,<0.01,0.15,4.8,<0.005,0.02,0.65,32,0.07,27.3,66,1.2,Soil Certificates,TU22073861.csv,
PN0000996991,0.24,0.005,0.03,1.10,4.9,<10,60,0.25,0.19,0.29,0.05,40.5,7.6,6,0.32,26.6,2.02,3.36,0.06,0.03,0.04,0.023,0.05,21.0,15.6,0.49,355,0.27,<0.01,0.07,4.1,230,5.9,2.4,<0.001,<0.01,0.28,2.7,0.2,0.2,15.2,<0.01,0.08,2.5,<0.005,0.02,0.27,17,0.07,10.25,51,0.9,Soil Certificates,TU22073861.csv,
PN0000996992,0.26,0.003,0.04,1.55,4.6,<10,90,0.48,0.20,0.48,0.08,41.7,9.3,14,1.02,37.7,2.84,4.32,0.07,0.05,0.02,0.022,0.10,25.0,24.3,0.63,384,0.34,<0.01,0.18,10.5,220,7.4,9.4,<0.001,<0.01,0.33,3.9,0.2,0.3,27.0,<0.01,0.10,4.1,0.011,0.06,0.31,28,0.08,11.15,64,1.6,Soil Certificates,TU22073861.csv,
PN0000996993,0.24,0.016,0.04,1.51,8.4,<10,60,0.30,0.26,0.60,0.05,57.9,11.1,9,0.42,43.7,3.09,3.91,0.09,0.05,0.06,0.023,0.06,31.2,26.1,0.64,484,0.39,<0.01,0.13,8.1,390,6.9,3.2,<0.001,0.01,0.39,3.7,0.4,0.2,25.3,<0.01,0.21,3.5,<0.005,0.02,0.34,23,0.07,12.45,66,1.5,Soil Certificates,TU22073861.csv,
PN0000996994,0.25,0.004,0.04,1.47,21.4,<10,100,0.33,0.17,2.41,0.09,37.0,11.4,14,0.67,42.5,3.16,3.98,0.06,0.04,0.03,0.020,0.10,19.0,16.8,0.69,601,0.39,<0.01,0.13,11.0,400,7.1,6.0,<0.001,<0.01,0.47,3.3,0.3,0.2,35.1,<0.01,0.09,2.0,0.009,0.04,0.35,27,0.06,11.80,67,1.2,Soil Certificates,TU22073861.csv,
PN0000996995,0.23,0.004,0.03,1.21,4.0,<10,90,0.35,0.19,3.33,0.09,38.4,8.6,10,0.80,35.5,2.31,3.31,0.07,0.04,0.04,0.019,0.09,21.5,21.5,0.55,450,0.31,<0.01,0.23,9.0,340,7.2,6.4,<0.001,0.01,0.26,2.7,0.3,0.2,40.4,<0.01,0.10,2.3,0.007,0.05,0.35,20,0.11,11.30,58,1.4,Soil Certificates,TU22073861.csv,
PN0000996996,0.26,0.001,0.08,2.57,29.0,<10,110,0.39,0.12,0.57,0.18,11.55,48.2,26,0.75,90.5,6.22,8.58,0.06,0.06,0.07,0.019,0.06,5.8,14.8,1.43,1300,0.55,0.01,0.14,29.0,400,6.4,4.3,<0.001,<0.01,0.64,7.9,0.4,0.3,28.5,<0.01,0.03,1.5,0.140,0.05,0.31,137,<0.05,9.40,81,1.7,Soil Certificates,TU22073861.csv,
PN0000996997,0.24,0.005,0.18,0.81,8.0,<10,130,0.37,0.10,11.35,0.12,27.4,12.7,18,1.32,50.6,2.61,2.06,0.05,0.02,0.03,0.018,0.16,14.6,10.0,0.64,704,0.49,0.01,0.22,20.0,660,5.2,8.5,<0.001,0.02,0.20,3.6,0.5,0.2,149.0,<0.01,0.08,1.4,0.011,0.05,0.57,23,0.19,10.55,59,0.6,Soil Certificates,TU22073861.csv,
PN0000996998,0.24,0.005,0.02,0.40,10.4,<10,90,0.18,0.07,15.65,0.06,21.3,5.9,3,0.69,25.6,1.38,0.98,<0.05,0.02,0.04,0.016,0.04,13.0,4.9,0.21,417,0.33,<0.01,0.10,3.6,340,3.0,2.6,<0.001,0.01,0.23,2.7,0.5,0.2,59.4,<0.01,0.06,1.0,<0.005,0.02,0.41,11,0.06,14.45,34,0.7,Soil Certificates,TU22073861.csv,
PN0000996999,0.22,0.003,0.02,0.82,11.6,<10,50,0.29,0.23,0.37,0.02,49.5,6.8,8,0.91,33.1,1.95,1.93,0.10,0.03,0.04,0.015,0.03,43.8,8.2,0.27,233,1.04,<0.01,0.05,6.5,190,8.6,1.6,<0.001,<0.01,0.46,2.6,0.3,0.2,13.8,0.01,0.14,7.0,<0.005,<0.02,0.49,12,0.06,47.4,41,1.0,Soil Certificates,TU22073861.csv,
PN0000997000,0.25,0.004,0.02,0.95,4.9,<10,60,0.32,0.15,0.29,0.03,26.4,6.6,7,1.41,28.7,2.10,2.40,0.07,0.03,0.03,0.021,0.05,21.1,12.3,0.37,254,0.27,<0.01,0.10,6.2,110,4.9,4.1,<0.001,<0.01,0.28,3.9,<0.2,0.3,14.3,<0.01,0.07,3.5,0.005,0.03,0.36,19,0.06,19.45,44,1.1,Soil Certificates,TU22073861.csv,
PN0000996701,0.22,0.002,0.03,1.12,5.1,<10,130,0.42,0.11,0.26,0.10,30.3,7.5,12,0.63,19.0,2.37,3.41,0.05,0.04,0.05,0.016,0.08,15.2,8.1,0.37,605,0.48,0.01,0.20,7.8,160,6.3,6.0,<0.001,0.01,0.43,3.4,0.2,0.3,22.6,<0.01,0.02,2.3,0.012,0.06,0.34,22,0.09,6.67,38,1.2,Soil Certificates,TU22073852.csv,
PN0000996702,0.20,0.004,0.05,1.63,10.2,<10,140,0.52,0.15,0.35,0.08,38.4,10.1,17,0.66,20.1,2.96,4.84,0.06,0.06,0.05,0.022,0.08,21.4,11.0,0.61,617,0.43,0.01,0.20,10.3,170,7.7,5.8,<0.001,<0.01,0.36,6.0,0.2,0.4,31.0,<0.01,0.04,3.9,0.016,0.06,0.42,56,0.11,11.10,43,1.8,Soil Certificates,TU22073852.csv,
PN0000996703,0.27,0.068,0.10,1.82,9.3,<10,100,0.48,0.19,1.50,0.16,26.1,12.3,18,1.30,63.8,3.83,4.64,0.05,0.05,0.05,0.026,0.24,12.3,18.4,0.81,752,0.56,0.01,0.28,13.4,300,8.2,13.0,<0.001,0.01,0.60,6.2,0.2,0.4,35.7,<0.01,0.04,2.6,0.013,0.10,0.39,48,0.12,7.02,79,1.4,Soil Certificates,TU22073852.csv,
PN0000996704,0.24,0.021,0.07,1.92,5.7,<10,100,0.31,0.10,0.37,0.08,21.3,11.9,13,0.59,70.1,4.13,4.61,0.05,0.07,0.07,0.021,0.10,10.5,13.3,0.79,778,0.55,0.01,0.11,8.4,270,4.6,4.8,<0.001,<0.01,0.37,7.1,0.2,0.2,27.8,<0.01,0.03,2.3,0.007,0.04,0.36,40,0.07,7.06,64,1.9,Soil Certificates,TU22073852.csv,
PN0000996705,0.27,0.004,0.10,1.75,7.0,<10,140,0.55,0.17,0.49,0.16,32.6,9.2,17,0.75,40.4,3.26,4.96,0.06,0.06,0.04,0.020,0.17,17.8,12.2,0.76,690,0.56,0.01,0.20,11.3,240,9.5,10.1,<0.001,0.01,0.53,4.2,0.2,0.4,24.9,<0.01,0.04,3.8,0.012,0.09,0.38,37,0.09,9.12,67,1.8,Soil Certificates,TU22073852.csv,
PN0000996706,0.25,0.004,0.07,1.54,21.2,<10,110,0.51,0.14,0.37,0.09,33.1,10.3,19,1.26,26.3,3.17,4.16,0.05,0.06,0.05,0.017,0.24,18.9,15.0,0.61,514,0.53,0.01,0.29,12.9,220,8.2,12.8,<0.001,0.01,0.90,3.8,0.2,0.4,28.9,<0.01,0.03,4.6,0.014,0.10,0.53,34,0.16,8.75,51,2.3,Soil Certificates,TU22073852.csv,
PN0000996707,0.26,0.009,0.17,1.45,8.4,<10,110,0.42,0.21,1.85,0.31,27.3,8.7,16,1.64,39.2,3.49,3.97,0.05,0.04,0.04,0.022,0.29,12.7,19.8,0.71,904,2.66,0.01,0.36,11.3,410,15.0,15.6,<0.001,0.01,0.54,3.1,0.3,0.4,74.4,<0.01,0.06,2.1,0.021,0.10,0.51,27,0.17,6.56,91,1.2,Soil Certificates,TU22073852.csv,
PN0000996708,0.21,0.020,0.11,1.97,6.4,<10,90,0.43,0.18,3.98,0.20,21.8,11.0,16,1.29,41.0,4.88,5.48,0.05,0.06,0.06,0.023,0.17,10.3,20.9,0.95,1300,1.01,0.01,0.42,11.5,460,6.7,10.0,<0.001,0.02,0.24,4.9,0.4,0.3,80.6,<0.01,0.05,2.0,0.015,0.08,0.44,39,0.15,5.80,72,1.6,Soil Certificates,TU22073852.csv,
PN0000996709,0.23,0.032,0.09,1.41,8.9,<10,80,0.37,0.11,9.31,0.12,16.10,12.7,12,1.13,74.8,3.16,3.95,<0.05,0.06,0.06,0.021,0.15,8.2,14.2,0.83,666,0.38,0.01,0.26,11.0,410,5.2,8.8,<0.001,0.02,0.37,6.3,0.4,0.3,129.5,<0.01,0.04,1.1,0.009,0.06,0.33,47,0.10,5.54,57,1.4,Soil Certificates,TU22073852.csv,
PN0000996710,0.25,0.028,0.13,1.55,11.0,<10,70,0.37,0.09,0.47,0.07,23.9,10.4,14,0.54,151.0,2.86,3.65,0.05,0.04,0.07,0.034,0.09,15.2,8.4,0.73,459,0.38,0.01,0.14,9.1,170,4.7,4.5,<0.001,0.01,1.28,5.6,0.2,0.2,20.4,<0.01,0.02,2.2,0.005,0.04,0.28,53,0.08,7.98,60,1.2,Soil Certificates,TU22073852.csv,
PN0000996711,0.24,0.013,0.09,2.53,10.8,10,100,0.49,0.15,3.33,0.22,24.8,18.5,24,0.78,111.5,4.21,6.38,0.06,0.08,0.07,0.020,0.36,12.5,17.0,1.67,957,0.33,0.01,0.40,17.6,1410,8.1,15.5,<0.001,0.02,0.57,6.3,0.4,0.4,49.6,<0.01,0.04,2.3,0.025,0.10,0.34,82,0.07,10.05,88,2.0,Soil Certificates,TU22073852.csv,
